error_type,target,predicted
case_error,Those who were near him saw something hard and blue-black leap out with his hand....,those who were near him saw something hard and blue-black leap out with his hand....
case_error,"He fired, and as he fired he hurled himself forward, The man with the bombs sagged and crumpled with a little choking cry.","He fired, and as he fired he hurled himself forward, the man with the bombs sagged and crumpled with a little choking cry."
case_error,"""Attaboy!"" His cheery voice rose above the pandemonium.","""Attaboy!"" his cheery voice rose above the Pandemonium."
case_error,"""I'll have the coat off your back, sir!"" he fumed, his voice shrill with the reaction from fear.","""I'll have the coat off your back, sir!"" He fumed, his voice shrill with the reaction from fear."
case_error,I'll have you kicked out of the Force!,I'll have you kicked out of the force!
case_error,"You--you endanger our lives, and then you have the--the impertinence--the impertinence--I demand to know your name, sir!","You--you endanger our lives, and then you have the--the impertinence--the impertinence--I demand to know your name, Sir!"
case_error,"I shall go straight to Scotland Yard!"" ""I am Captain Arden,"" said Storm coldly, and his lip curled.","I shall go straight to Scotland Yard!"" ""I am captain Arden,"" said Storm coldly, and his lip curled."
case_error,"""I'll have you pilloried in the Press!","""I'll have you pilloried in the press!"
case_error,"""Your men are after them, sir, but I don't think they've much chance.","""Your men are after them, Sir, but I don't think they've much chance."
case_error,Storm drove him back to Fleet Street and returned to Scotland Yard.,Storm drove him back to Fleet Street and returned to Scotland yard.
case_error,"He had occasion to remember them, however, when he reached his room, for a letter was awaiting him and it was marked URGENT.","He had occasion to remember them, however, when he reached his room, for a letter was awaiting him and it was marked urgent."
case_error,"At the head of it was drawn the symbol of the Alpha Triangle, and just below this was a note: A copy of this Manifesto has been sent to all the London newspapers, and all News Agencies.","At the head of it was drawn the symbol of the Alpha Triangle, and just below this was a note: a copy of this manifesto has been sent to all the London newspapers, and all news agencies."
case_error,"FIRST MANIFESTO _by the Lord of the Alpha Triangle, in Council, to the Parliament and People of the United Kingdom._ WHEREBY it is announced as follows: The Society at present known as the Alpha Triangle is the most powerful and the most highly-organised Institution of its kind the world has ever known.","First manifesto _by the Lord of the Alpha Triangle, in Council, to the parliament and people of the United Kingdom._ Whereby it is announced as follows: The society at present known as the Alpha Triangle is the most powerful and the most highly-organised institution of its kind the world has ever known."
case_error,"The Society is composed of those who, recognising the fact that Force is the law of Nature, and that the principles obtaining in International Politics are those which should have currency in Social Politics, have arranged to extract from the World the wealth which they desire by such means as they think fit to employ.","The society is composed of those who, recognising the fact that force is the law of nature, and that the principles obtaining in international politics are those which should have currency in social politics, have arranged to extract from the world the wealth which they desire by such means as they think fit to employ."
case_error,"Recognising, also, that they are declaring a War upon the Laws of the World, the Alpha Triangle wish it to be understood that no human life will be sacred to them during the duration of such a War.","Recognising, also, that they are declaring a war upon the laws of the world, the Alpha Triangle wish it to be understood that no human life will be sacred to them during the duration of such a war."
case_error,"IN ORDER, therefore, that much needless sacrifice of life may be saved, the Alpha Triangle takes this opportunity of announcing that it will declare an End of this War on receiving official Intimation of the acceptance by His Majesty's Government of the following Terms of Peace: (1) THAT the Government above cited shall, within two months of the date hereof, pay to the Alpha Triangle the sum of £15,000,000 (Fifteen million pounds).","In order, therefore, that much needless sacrifice of life may be saved, the Alpha Triangle takes this opportunity of announcing that it will declare an end of this war on receiving official intimation of the acceptance by his Majesty's government of the following terms of peace: (1) that the government above cited shall, within two months of the date hereof, pay to the Alpha Triangle the sum of £15,000,000 (fifteen million pounds)."
case_error,"(2) THAT the Government above cited shall, upon making this payment, utter a proclamation freely pardoning the several members of the Alpha Triangle and fully indemnifying them from the results of any civil or criminal proceedings in connection with any felonies, misdemeanours or torts committed by the said members of the Alpha Triangle, up to and including the day upon which this payment is made.","(2) that the government above cited shall, upon making this payment, utter a proclamation freely pardoning the several members of the Alpha Triangle and fully indemnifying them from the results of any civil or criminal proceedings in connection with any felonies, misdemeanours or torts committed by the said members of the Alpha Triangle, up to and including the day upon which this payment is made."
case_error,"(3) THAT the Government above cited shall make this payment in gold ingots, in a manner to be described upon our receipt of the notification of the said Government that they accept these Terms without any reservation or alteration whatsoever.","(3) that the government above cited shall make this payment in gold ingots, in a manner to be described upon our receipt of the notification of the said government that they accept these terms without any reservation or alteration whatsoever."
case_error,Hugh Anderby Neilson (Chancellor of the Exchequer).,Hugh anderby Neilson (chancellor of the exchequer).
case_error,Paul Hesketh (Foreign Secretary).,Paul Hesketh (foreign secretary).
case_error,"AND IN ADDITION, the criminal activities of the Alpha Triangle will continue with unabated energy.","And in addition, the criminal activities of the Alpha Triangle will continue with unabated energy."
case_error,Of the efficiency of these activities the Public will be in possession of a striking example by the time this Manifesto appears in print.,Of the efficiency of these activities the public will be in possession of a striking example by the time this manifesto appears in print.
case_error,"GIVEN by our Hand this Day, (Signed) For signature there was simply a small replica of the crest which commenced the sheet.","Given by our hand this day, (signed) for signature there was simply a small replica of the crest which commenced the sheet."
case_error,"Immediately he heard of the display of jewels, he ordered fifty officers in plain clothes to be armed and dispatched to Moraine's.","immediately he heard of the display of jewels, he ordered fifty officers in plain clothes to be armed and dispatched to Moraine's."
case_error,"As it was, his prompt action in attacking the member of the gang who was left behind to ensure the getaway of the others was as courageous a deed as that which won him the D.","As it was, his prompt action in attacking the member of the gang who was left behind to ensure the getaway of the others was as courageous a deed as that which won him the d."
case_error,at Mons during the Great War.,At Mons during the Great War.
case_error,"So spoke the _Daily Record_, after the first profitable crime of the Triangle.","So spoke the _daily record_, after the first profitable crime of the Triangle."
case_error,"""I Know Criminals,"" he would say darkly, to the few doubters that remained.","""I know criminals,"" he would say darkly, to the few doubters that remained."
case_error,He sat opposite Joe Blaythwayt in the Lombard Street office.,He sat opposite Joe Blaythwayt in the lombard street office.
case_error,I shall require to pe baid in one bound notes.,I shall require to Pe baid in one bound notes.
case_error,"""If I might mention something, sir,"" Blaythwayt stopped him.","""If I might mention something, Sir,"" Blaythwayt stopped him."
case_error,"""That man Snooper--you want to be careful of him."" Raegenssen wrinkled.","""That man snooper--you want to be careful of him."" Raegenssen wrinkled."
case_error,"""Snoober?"" ""That Brome fellow--Edward Brome he calls himself.","""Snoober?"" ""That brome fellow--edward brome he calls himself."
case_error,I saw him driving through the City in your car yesterday morning.,I saw him driving through the city in your car yesterday morning.
case_error,"Of course, it's really no business of mine if you give your acquaintance a lift, but Brome isn't--ah--desirable.","Of course, it's really no business of mine if you give your acquaintance a lift, but brome isn't--ah--desirable."
case_error,"How do you know?"" ""I Know Criminals,"" said Joe with an air.","How do you know?"" ""I know criminals,"" said Joe with an air."
case_error,"Goot-pye!"" He left in his usual abrupt manner, and Joe Blaythwayt returned to his desk with a comfortable feeling of having at last found an opportunity of giving a practical demonstration of his knowledge of the criminal classes.","Goot-pye!"" he left in his usual abrupt manner, and Joe Blaythwayt returned to his desk with a comfortable feeling of having at last found an opportunity of giving a practical demonstration of his knowledge of the criminal classes."
case_error,"So escaped Snooper Brome, with three car-loads of detectives all but on his heels and four hundred thousand pounds' worth of gems in a shabby leather bag.","So escaped snooper brome, with three car-loads of detectives all but on his heels and four hundred thousand pounds' worth of gems in a shabby leather bag."
case_error,"I do not wiss to disturbed pe!"" His servants accepted the tickets with murmured thanks, and exchanged a covert wink, for they were used to their master's eccentricities.","I do not wiss to disturbed Pe!"" His servants accepted the tickets with murmured thanks, and exchanged a covert wink, for they were used to their master's eccentricities."
case_error,"He dined economically at a small restaurant in Soho, and from there he went on to the Orpheum Theatre, where that bright entertainment _Bronx or Manhattan_ played nightly to crowded houses.","He dined economically at a small restaurant in Soho, and from there he went on to the Orpheum theatre, where that bright entertainment _bronx or manhattan_ played nightly to crowded houses."
case_error,"Somewhere to the north rumbled the mutter of distant thunder, A summer storm was brewing.","somewhere to the north rumbled the mutter of distant thunder, a summer storm was brewing."
case_error,"Satisfied that there were no alarms fitted, he pressed back the catch and opened the window to its fullest extent, after which he drew the heavy curtains.","satisfied that there were no alarms fitted, he pressed back the catch and opened the window to its fullest extent, after which he drew the heavy curtains."
case_error,"A beam of light stabbed the darkness, flickered over every part of the room, and rested at length on a Sheraton cabinet.","A beam of light stabbed the darkness, flickered over every part of the room, and rested at length on a sheraton cabinet."
case_error,"Exactly three hours after he had entered the house the door of the safe hung open, disclosing rows and rows of documents tied in bundles of various sizes, neatly arranged on the metal shelves.","exactly three hours after he had entered the house the door of the safe hung open, disclosing rows and rows of documents tied in bundles of various sizes, neatly arranged on the metal shelves."
case_error,"It was then that he heard the snap of potassium chlorate--the safety powder he had sprinkled around the door detonated under foot like the tiny explosions of ""cap"" pistols.","It was then that he heard the snap of potassium chlorate--the safety powder he had sprinkled around the door detonated under foot like the tiny explosions of ""Cap"" pistols."
case_error,"Snooper Brome's big hand held an ugly revolver which covered Storm, and Storm's little automatic was steadily focused on Mr.","Snooper brome's big hand held an ugly revolver which covered Storm, and Storm's little automatic was steadily focused on Mr."
case_error,"Brome, though the question was rather unnecessary.","brome, though the question was rather unnecessary."
case_error,saw the slight backward tremble of the hammer of his revolver.,Saw the slight backward tremble of the hammer of his revolver.
case_error,"""You're poaching, Snooper.","""You're poaching, snooper."
case_error,"I shall have to report you to the Larcenists' Union, Snooper, really I shall...."" His voice trailed away.","I shall have to report you to the larcenists' union, snooper, really I shall...."" His voice trailed away."
case_error,"But, not knowing this, Eddie Brome watched keenly for the faintest wavering of the gun-metal grey eyes....","But, not knowing this, Eddie brome watched keenly for the faintest wavering of the gun-metal grey eyes...."
case_error,"The bullet struck Brome's revolver from his hand, and it clattered to the floor while his arm fell limply to his side, suddenly paralysed by the shock.","The bullet struck brome's revolver from his hand, and it clattered to the floor while his arm fell limply to his side, suddenly paralysed by the shock."
case_error,"But it's no use getting rattled, Horace!"" he murmured.","But it's no use getting rattled, horace!"" he murmured."
case_error,"As he crossed to the door he saw that Snooper had vanished and, on the strength of his decision, was glad that he had not hit the fence harder.","As he crossed to the door he saw that snooper had vanished and, on the strength of his decision, was glad that he had not hit the fence harder."
case_error,"""Here--none of that, sir!"" commanded a voice, and the next instant the lights went up.","""Here--none of that, Sir!"" commanded a voice, and the next instant the lights went up."
case_error,"He was in evening dress, with his mane of fair hair dishevelled and his Viking beard awry with the struggle.","He was in evening dress, with his mane of fair hair dishevelled and his viking beard awry with the struggle."
case_error,On the threshold of the library he halted.,On the threshold of the Library he halted.
case_error,"Facing him, though he could not see them, were three doors, and he had left each one of them slightly ajar.","facing him, though he could not see them, were three doors, and he had left each one of them slightly ajar."
case_error,"""Wouldn't you like to know?"" boomed back a mocking voice.","""wouldn't you like to know?"" Boomed back a mocking voice."
case_error,CHAPTER IX SPECIMENS OF JOURNALESE Storm trod on the self-starter.,Chapter ix specimens of journalese Storm trod on the self-starter.
case_error,Like a long shadow the Hirondel slid out of the cart track and down the deserted road between ghostly files of street lamps.,Like a long shadow the hirondel slid out of the cart track and down the deserted road between ghostly files of street lamps.
case_error,"""Now I can take you along to the Elysion, and we can consume bacon and eggs."" He made no effort to discover the reason for her presence, but she enlightened him of her own accord.","""Now I can take you along to the elysion, and we can consume bacon and eggs."" He made no effort to discover the reason for her presence, but she enlightened him of her own accord."
case_error,"If I'd thought you wanted help, I'd have come----"" ""Like old times,"" said Storm, and raised her hand to his lips.","If I'd thought you wanted help, I'd have come----"" ""like old times,"" said Storm, and raised her hand to his lips."
case_error,"Forget him, kid, and listen to me.","forget him, kid, and listen to me."
case_error,"London's all right when there's a Triangle livening things up, but one day the Triangle'll toe the T in a whitewashed shed, and I hate stagnation!","London's all right when there's a triangle livening things up, but one day the Triangle'll toe the t in a whitewashed shed, and I hate stagnation!"
case_error,"""You're so very unconventional...."" And thereafter he only had one hand for the steering-wheel.","""You're so very unconventional...."" and thereafter he only had one hand for the steering-wheel."
case_error,"Storm breakfasted next morning with his usual litter of newspapers scattered on the floor all around him, but he was chiefly amused by the alarm of the _Daily Record_.","Storm breakfasted next morning with his usual litter of newspapers scattered on the floor all around him, but he was chiefly amused by the alarm of the _daily record_."
case_error,"To his mind, the crime reports in which the _Record_ specialised were far more interesting than fiction, for that paper had a reputation for chewing more meat from tropical bones than any of its contemporaries.","To his mind, the crime reports in which the _record_ specialised were far more interesting than fiction, for that paper had a reputation for chewing more meat from tropical bones than any of its contemporaries."
case_error,WHERE ARE THE POLICE?,Where are the police?
case_error,LONDON AT MERCY OF GANG OF MURDERERS.,London at mercy of gang of murderers.
case_error,GOVERNMENT MUST NOT SURRENDER.,Government must not surrender.
case_error,FURTHER OUTRAGES ANTICIPATED.,Further outrages anticipated.
case_error,LATEST NEWS OF GIGANTIC CONSPIRACY.,Latest news of gigantic conspiracy.
case_error,"The police, one gathered, were either incapable or afraid; the Government were meditating incontinent surrender; England was to be plunged into anarchy; neither life nor property would be safe....","The police, one gathered, were either incapable or afraid; the government were meditating incontinent surrender; England was to be plunged into anarchy; neither life nor property would be safe...."
case_error,Only the policy of the _Daily Record_ was stemming the tide of disaster.,Only the policy of the _daily record_ was stemming the tide of disaster.
case_error,"But, at least, he went about his work with the efficiency of a superman whose head would be bloody but unbowed despite plague, pestilence, famine, riot, civil commotion, the fall of the Conservative Party, the dissolution of the British Empire, Act of God, or the agitation of the _Daily Record_.","But, at least, he went about his work with the efficiency of a superman whose head would be bloody but unbowed despite plague, pestilence, famine, riot, civil commotion, the fall of the conservative party, the dissolution of the British Empire, act of god, or the agitation of the _daily record_."
case_error,"""There is a man downstairs who wishes to speak to you, sir,"" he said, returning with reinforcements of coffee.","""There is a man downstairs who wishes to speak to you, Sir,"" he said, returning with reinforcements of coffee."
case_error,"Sorrow was in every line of his pessimistic face, and he laid a faint emphasis on the word ""man."" Storm had never quite induced his servant to accept Inspector Teal as a human being.","sorrow was in every line of his pessimistic face, and he laid a faint emphasis on the word ""man."" Storm had never quite induced his servant to accept Inspector Teal as a human being."
case_error,"""Sit down, Teal.","""Sit down, teal."
case_error,"English or Colonial breakfast?"" Inspector Teal frowned suspiciously.","English or colonial breakfast?"" Inspector Teal frowned suspiciously."
case_error,"""What's a Colonial breakfast?"" he inquired.","""What's a colonial breakfast?"" he inquired."
case_error,"""Oh, a horse's neck, a mutton chop, and a small dog."" ""What's the small dog for?"" queried Mr.","""Oh, a horse's neck, a mutton chop, and a small dog."" ""What's the small dog for?"" Queried Mr."
case_error,"""Nice little place you've got here,"" he remarked.","""nice little place you've got here,"" he remarked."
case_error,"Listen, Teal.","Listen, teal."
case_error,"""And this: _A sensational arrest is expected at every moment_.","""And this: _a sensational arrest is expected at every moment_."
case_error,"""Why must you be inconsequent?"" ""Why must you burgle Raegenssen?"" asked Mr.","""Why must you be inconsequent?"" ""Why must you burgle raegenssen?"" asked Mr."
case_error,"""Anything to do with Triangles is on my beat."" Storm took the trinket and stared at it.","""Anything to do with triangles is on my beat."" Storm took the trinket and stared at it."
case_error,"It was just ten when I came along Piccadilly, so I brought you in the midday edition of the _Evening Record_."" Storm took the sheet and grinned.","It was just ten when I came along Piccadilly, so I brought you in the midday edition of the _evening record_."" Storm took the sheet and grinned."
case_error,"""You're an old cynic, Teal!"" he reproved.","""You're an old cynic, teal!"" he reproved."
case_error,"Raegenssen had been to a theatre, and had thence proceeded to a night club-- ""How shocking,"" murmured Storm.","Raegenssen had been to a theatre, and had thence proceeded to a night club-- ""how shocking,"" murmured Storm."
case_error,"""--from which he returned to his house in Marchmont Avenue at about 1 a.","""--from which he returned to his house in Marchmont avenue at about 1 a."
case_error,"He was promptly attacked with great ferocity by the desperado, who again contrived to make his escape, but who this time left behind him a silver triangle of a type which is by now familiar to readers of the _Evening Record_.","He was promptly attacked with great ferocity by the Desperado, who again contrived to make his escape, but who this time left behind him a silver triangle of a type which is by now familiar to readers of the _evening record_."
case_error,During the time it took Mr.,during the time it took Mr.
case_error,"Raegenssen to recover sufficiently to rise, the library was in its turn the subject of the burglar's attentions.","Raegenssen to recover sufficiently to rise, the Library was in its turn the subject of the burglar's attentions."
case_error,"""The extraordinary feature of the affair, however-- ""That's three 'howevers.' ""--is the fact that in neither case-- ""That's two cases.","""The extraordinary feature of the affair, however-- ""that's three 'howevers.' ""--is the fact that in neither case-- ""that's two cases."
case_error,"""Good old Snooper!"" said Storm cryptically.","""Good old snooper!"" said Storm cryptically."
case_error,"""I knew he'd get away with it somehow!"" He pitched the paper into a corner and swung himself off the table.","""I knew he'd get away with it somehow!"" he pitched the paper into a corner and swung himself off the table."
case_error,"If you're really interested, I can prove an alibi; I was inhaling bacon and eggs at the Elysion, or beer _chez_ Mannering--where Miss Hawthorne's staying--at the time."" Teal wrinkled his brow.","If you're really interested, I can prove an alibi; I was inhaling bacon and eggs at the elysion, or beer _chez_ mannering--where Miss Hawthorne's staying--at the time."" Teal wrinkled his brow."
case_error,And I let him go--you can tell that to your Board of Inquiry!,And I let him go--you can tell that to your board of inquiry!
case_error,"And now, if you don't mind, we'll leave the subject until this afternoon."" The Board assembled in the Chief Commissioner's room at two o'clock, and Storm took his place at one end of the table without a trace of embarrassment.","And now, if you don't mind, we'll leave the subject until this afternoon."" The board assembled in the chief commissioner's room at two o'clock, and Storm took his place at one end of the table without a trace of embarrassment."
case_error,"Teal, who sat on his right, was less self-confident, for Inspector Teal was a conventional detective with a proper awe for the majesty of Higher Command.","Teal, who sat on his right, was less self-confident, for Inspector Teal was a conventional detective with a proper awe for the majesty of higher command."
case_error,"Bill Kennedy, the Assistant Commissioner, shook hands with Storm as he passed, although his usual cheeriness was singularly half-hearted.","Bill kennedy, the assistant commissioner, shook hands with Storm as he passed, although his usual cheeriness was singularly half-hearted."
case_error,"The Chief, Sir Brodie Smethurst, was the last to arrive, and with him came a man whom no one present with the exception of Storm had expected to see.","The chief, Sir Brodie Smethurst, was the last to arrive, and with him came a man whom no one present with the exception of Storm had expected to see."
case_error,"""What's the Home Secretary doing in this picnic?"" demanded Teal in a hoarse whisper, and Storm shrugged.","""What's the home secretary doing in this picnic?"" demanded teal in a hoarse whisper, and Storm shrugged."
case_error,"The preliminary business was soon over, for in theory the Board had assembled to make an inquiry into Storm's failure to prevent the robbery at Moraine's; and then Storm rose to give an account of his progress with the main problem.","The preliminary business was soon over, for in theory the board had assembled to make an inquiry into Storm's failure to prevent the robbery at Moraine's; and then Storm rose to give an account of his progress with the main problem."
case_error,And I'll make you a prophecy: within the next forty-eight hours the man known as Raegenssen will either have disappeared or been killed!...,And I'll make you a prophecy: Within the next forty-eight hours the man known as Raegenssen will either have disappeared or been killed!...
case_error,"I could arrest the Apex to-day--but I won't!"" He heard the suppressed gasp that went up, and smiled faintly at Inspector Teal's muffled ""Good God!"" ""No one but myself,"" he went on simply, ""has anything like the evidence necessary to secure a conviction--I even doubt very much if I could get one myself.","I could arrest the apex to-day--but I won't!"" He heard the suppressed gasp that went up, and smiled faintly at Inspector Teal's muffled ""Good God!"" ""No one but myself,"" he went on simply, ""has anything like the evidence necessary to secure a conviction--I even doubt very much if I could get one myself."
case_error,"You can be satisfied that it is a moral certainty, even if it would fail to convince a Grand Jury.","You can be satisfied that it is a moral certainty, even if it would fail to convince a grand jury."
case_error,"He spoke quietly, not as a boaster, but as one who states a fact, and his cool assurance staggered the Board.","He spoke quietly, not as a boaster, but as one who states a fact, and his cool assurance staggered the board."
case_error,"Whereas before they had been scowling or incredulous, according to temperament, they were united in indignation.","whereas before they had been scowling or incredulous, according to temperament, they were united in indignation."
case_error,Never within living memory had a man dared to address a Board of Inquiry in such an arrogant manner.,Never within living memory had a man dared to address a board of inquiry in such an arrogant manner.
case_error,"And Storm, while they strove to collect their wits, was leisurely lighting a cigarette and smiling as affably as if he had merely made some commonplace remark about the weather, instead of handing out to Their Augustnesses the starkest slice of sheer frozen case-hardened nerve in their experience....","And Storm, while they strove to collect their wits, was leisurely lighting a cigarette and smiling as affably as if he had merely made some commonplace remark about the weather, instead of handing out to their augustnesses the starkest slice of sheer frozen case-hardened nerve in their experience...."
case_error,"""Can't you be a little more explicit, then?"" ""I can tell you this: I first suspected my man on a day when I had a slight accident."" Storm spoke slowly and evenly, ignoring the stunned faces of the Board and addressing his remarks to the Home Secretary.","""Can't you be a little more explicit, then?"" ""I can tell you this: I first suspected my man on a day when I had a slight accident."" Storm spoke slowly and evenly, ignoring the stunned faces of the board and addressing his remarks to the home secretary."
case_error,"""I was driving down Cockspur Street, and my car skidded and knocked Raegenssen down.","""I was driving down cockspur street, and my car skidded and knocked Raegenssen down."
case_error,"Then the bottled-up feelings of the Police Chiefs had their vent, and a hum of argument broke out like the snarl of numerous irritated bees.","Then the bottled-up feelings of the police chiefs had their vent, and a hum of argument broke out like the snarl of numerous irritated bees."
case_error,"Bill Kennedy waved a hand to Storm and lighted a cigar, seemingly bored with the whole business.","Bill kennedy waved a hand to storm and lighted a cigar, seemingly bored with the whole business."
case_error,"Kent Road's nothin'--he's knocked 'em on the old Embankment and he's got away with it...."" His vast form vibrated with Titanic ecstasy....","Kent Road's nothin'--he's knocked 'em on the old embankment and he's got away with it...."" His vast form vibrated with titanic ecstasy...."
case_error,you can take your choice!'...,You can take your choice!'...
case_error,"Oh, Boy!...","Oh, boy!..."
case_error,"_Oh_, BOY!..."" ""Teal!"" whispered Storm reprovingly.","_oh_, boy!..."" ""Teal!"" whispered Storm reprovingly."
case_error,"""This mirth is nearly indecent!"" He himself was sublimely unconcerned, for he knew exactly where he had the Great Ones of Scotland Yard.","""This Mirth is nearly indecent!"" He himself was sublimely unconcerned, for he knew exactly where he had the great ones of Scotland Yard."
case_error,"""Will you answer some questions?"" asked Sir John Marker.","""Will you answer some questions?"" asked Sir John marker."
case_error,His slim straight figure stood out above them; his level confident voice commanded their unwilling attention; he dominated the scene as surely as if he had sat in the Chief Commissioner's chair with all the authority of Parliament behind him.,His slim straight figure stood out above them; his level confident voice commanded their unwilling attention; he dominated the scene as surely as if he had sat in the chief commissioner's chair with all the authority of parliament behind him.
case_error,"""That,"" he said, ""is the only reason why I do not intend to conduct this case in the normal way."" He looked around him searchingly, and then his eyes returned to the Home Secretary.","""That,"" he said, ""is the only reason why I do not intend to conduct this case in the normal way."" He looked around him searchingly, and then his eyes returned to the home secretary."
case_error,Teal nodded their answers to the unspoken question of the rest of the Board.,Teal nodded their answers to the unspoken question of the rest of the board.
case_error,"""Finally,"" said Storm, ""if Sir John Marker would like to come into a private room with me, I will tell him the name of the Apex of the Triangle."" The Home Secretary deliberated for a moment, and then led the way.","""Finally,"" said Storm, ""if Sir John marker would like to come into a private room with me, I will tell him the name of the apex of the Triangle."" The home secretary deliberated for a moment, and then led the way."
case_error,When Sir John Marker returned his face was white and he seemed to be shivering.,When Sir John marker returned his face was white and he seemed to be shivering.
case_error,"I don't want trouble in the House."" The other members of the Board stared at him blankly, for they had anticipated nothing so decisive.","I don't want trouble in the house."" The other members of the board stared at him blankly, for they had anticipated nothing so decisive."
case_error,something bigger than even the _Daily Record_ had ever dreamed of....,Something bigger than even the _daily record_ had ever dreamed of....
case_error,"As the Minister was taking his leave, the Chief Commissioner stopped him.","As the Minister was taking his leave, the chief commissioner stopped him."
case_error,"""There's been a lot of talk about that man Raegenssen,"" he said.","""There's been a lot of talk about that man raegenssen,"" he said."
case_error,"Can't I have that one question?"" The Home Secretary moistened his dry lips as he shook his head, and smiled crookedly.","Can't I have that one question?"" The home secretary moistened his dry lips as he shook his head, and smiled crookedly."
case_error,"""He's been dead two days..."" CHAPTER X RETURN OF AN EXILE There was a thin yellow envelope which was familiar to the members of the Alpha Triangle, for it was in such envelopes that they received their weekly general orders, and in similar envelopes the lieutenants of the Apex communicated with their Chief, under one or another of his various aliases.","""He's been dead two days..."" Chapter X return of an exile there was a thin yellow envelope which was familiar to the members of the Alpha Triangle, for it was in such envelopes that they received their weekly general orders, and in similar envelopes the lieutenants of the Apex communicated with their chief, under one or another of his various aliases."
case_error,"It lay beside her husband's plate unopened, for James Mattock was absorbed in the latest news about the Alpha Triangle, as purveyed by the _Daily Mercury_, and seemed to be unattached for the moment by the more intimate news which awaited his scrutiny.","It lay beside her husband's plate unopened, for James Mattock was absorbed in the latest news about the Alpha Triangle, as purveyed by the _daily mercury_, and seemed to be unattached for the moment by the more intimate news which awaited his scrutiny."
case_error,"A child of the people, she had risen to the fringe of Society by reason of her beauty, wit, vivacity, and a certain acquired refinement, while her less gifted brother remained in the ranks of the petty in-and-out-of-""stir"" sneak-thieves.","A child of the people, she had risen to the fringe of society by reason of her beauty, wit, vivacity, and a certain acquired refinement, while her less gifted brother remained in the ranks of the petty in-and-out-of-""Stir"" sneak-thieves."
case_error,"""D'you think that's everything in my life?"" she broke out resentfully.","""D'you think that's everything in my life?"" She broke out resentfully."
case_error,"unless it's Aylesbury for me and the Awful Place for you?"" The wall was down now.","Unless it's Aylesbury for me and the awful place for you?"" The wall was down now."
case_error,"""Even if you lose...","""even if you lose..."
case_error,"don't go on asking for death!"" Instinctive actress though she was, her passionate outburst was desperately sincere, and Mattock passed a shaking hand across his forehead as if to brush away a veil that clouded his eyes.","Don't go on asking for death!"" instinctive actress though she was, her passionate outburst was desperately sincere, and Mattock passed a shaking hand across his forehead as if to brush away a veil that clouded his eyes."
case_error,"Jim""--a wonderful light was born suddenly in her eyes--""oh, Jimmy""--breathlessly--""Jimmy----"" And then, in the old caprice of Fate, the clock struck.","Jim""--a wonderful light was born suddenly in her eyes--""Oh, Jimmy""--breathlessly--""Jimmy----"" and then, in the old caprice of fate, the clock struck."
case_error,Flung back into his brain the madness that had come to him one drizzling afternoon when he had sworn to set a Goal above all Prizes....,Flung back into his brain the madness that had come to him one drizzling afternoon when he had sworn to set a goal above all prizes....
case_error,"He went to the City and Continental, drew some money, and made certain arrangements.","He went to the city and continental, drew some money, and made certain arrangements."
case_error,"Joe Blaythwayt himself opened the door to his customer, and that simple soul was almost personally apologetic, for Raegenssen's comments on the Force seemed a direct slight on the lethargic officer who was wont on occasion to brighten the Finchley Nights Entertainments.","Joe Blaythwayt himself opened the door to his customer, and that simple soul was almost personally apologetic, for Raegenssen's comments on the force seemed a direct slight on the lethargic officer who was wont on occasion to brighten the Finchley nights entertainments."
case_error,"That same Teal, driving down Lombard Street in a taxi with a couple of unsuccessful jargoon sellers, saw the Swede leaving the bank and chuckled.","That same teal, driving down lombard street in a taxi with a couple of unsuccessful jargoon sellers, saw the swede leaving the bank and chuckled."
case_error,He was chatting downstairs in Scotland Yard that afternoon when a vast young man of incredible ugliness came hurtling down the steps three at a time.,He was chatting downstairs in Scotland yard that afternoon when a vast young man of incredible ugliness came hurtling down the steps three at a time.
case_error,"""I want you, Teal,"" he crisped.","""I want you, teal,"" he crisped."
case_error,"""I don't know, sir.","""I don't know, Sir."
case_error,"""No good, sir,"" he said.","""No good, Sir,"" he said."
case_error,"""Captain Arden's been out since eleven this morning and his man doesn't know where he is."" ""Hell!"" snarled the Assistant Commissioner.","""Captain Arden's been out since eleven this morning and his man doesn't know where he is."" ""Hell!"" snarled the assistant commissioner."
case_error,"""Marker was shot this afternoon as he was leaving his house."" ""Dead?"" drawled the callous Teal, and Kennedy shrugged.","""Marker was shot this afternoon as he was leaving his house."" ""Dead?"" Drawled the callous teal, and Kennedy shrugged."
case_error,"His inspiration being received with scorn, he maintained a dignified silence until the taxi drew up in Queen's Gate, where the Home Secretary lived.","His inspiration being received with scorn, he maintained a dignified silence until the taxi drew up in Queen's Gate, where the home secretary lived."
case_error,"""There were three cars close together--a Navarre limousine, a Carillon cabriolet, and a Hirondel sports.","""There were three cars close together--a navarre limousine, a carillon cabriolet, and a hirondel sports."
case_error,Oh--I remember the Hirondel was very battered--looked as if it had been in an air-raid.,Oh--I remember the hirondel was very battered--looked as if it had been in an air-raid.
case_error,"There was a '2' in it, anyway."" ""ZY 28822?"" murmured Teal, and the man nodded.","There was a '2' in it, anyway."" ""Zy 28822?"" murmured teal, and the man nodded."
case_error,"""Something like that.","""something like that."
case_error,"It was the gentle Gat, of course."" ""How're you going to prove it?"" Teal wanted to know.","It was the gentle gat, of course."" ""How're you going to prove it?"" Teal wanted to know."
